"","year","Code","gender","totalep","number","percentage"
"1","2011to2012","F64.0","Female",412,0,0
"2","2011to2012","F64.0","Male",412,145,35.1941747572816
"3","2011to2012","F64.0","Unknown",412,0,0
"4","2011to2012","F64.0","N/A",412,267,64.8058252427185
"5","2011to2012","F64.1","Female",2,0,0
"6","2011to2012","F64.1","Male",2,1,50
"7","2011to2012","F64.1","Unknown",2,0,0
"8","2011to2012","F64.1","N/A",2,1,50
"9","2011to2012","F64.2","Female",5,0,0
"10","2011to2012","F64.2","Male",5,5,100
"11","2011to2012","F64.2","Unknown",5,0,0
"12","2011to2012","F64.2","N/A",5,0,0
"13","2011to2012","F64.8","Female",6,0,0
"14","2011to2012","F64.8","Male",6,3,50
"15","2011to2012","F64.8","Unknown",6,0,0
"16","2011to2012","F64.8","N/A",6,3,50
"17","2011to2012","F64.9","Female",87,0,0
"18","2011to2012","F64.9","Male",87,22,25.2873563218391
"19","2011to2012","F64.9","Unknown",87,0,0
"20","2011to2012","F64.9","N/A",87,65,74.7126436781609
"21","2012to2013","F64.0","Female",511,262,51.2720156555773
"22","2012to2013","F64.0","Male",511,179,35.0293542074364
"23","2012to2013","F64.0","Unknown",511,70,13.6986301369863
"24","2012to2013","F64.0","N/A",511,0,0
"25","2012to2013","F64.1","Female",1,0,0
"26","2012to2013","F64.1","Male",1,1,100
"27","2012to2013","F64.1","Unknown",1,0,0
"28","2012to2013","F64.1","N/A",1,0,0
"29","2012to2013","F64.2","Female",5,1,20
"30","2012to2013","F64.2","Male",5,1,20
"31","2012to2013","F64.2","Unknown",5,3,60
"32","2012to2013","F64.2","N/A",5,0,0
"33","2012to2013","F64.8","Female",6,2,33.3333333333333
"34","2012to2013","F64.8","Male",6,3,50
"35","2012to2013","F64.8","Unknown",6,1,16.6666666666667
"36","2012to2013","F64.8","N/A",6,0,0
"37","2012to2013","F64.9","Female",72,24,33.3333333333333
"38","2012to2013","F64.9","Male",72,31,43.0555555555556
"39","2012to2013","F64.9","Unknown",72,17,23.6111111111111
"40","2012to2013","F64.9","N/A",72,0,0
"41","2013to2014","F64.0","Female",573,276,48.1675392670157
"42","2013to2014","F64.0","Male",573,221,38.5689354275742
"43","2013to2014","F64.0","Unknown",573,76,13.2635253054101
"44","2013to2014","F64.0","N/A",573,0,0
"45","2013to2014","F64.1","Female",1,0,0
"46","2013to2014","F64.1","Male",1,1,100
"47","2013to2014","F64.1","Unknown",1,0,0
"48","2013to2014","F64.1","N/A",1,0,0
"49","2013to2014","F64.2","Female",5,5,100
"50","2013to2014","F64.2","Male",5,0,0
"51","2013to2014","F64.2","Unknown",5,0,0
"52","2013to2014","F64.2","N/A",5,0,0
"53","2013to2014","F64.8","Female",4,2,50
"54","2013to2014","F64.8","Male",4,2,50
"55","2013to2014","F64.8","Unknown",4,0,0
"56","2013to2014","F64.8","N/A",4,0,0
"57","2013to2014","F64.9","Female",36,13,36.1111111111111
"58","2013to2014","F64.9","Male",36,21,58.3333333333333
"59","2013to2014","F64.9","Unknown",36,2,5.55555555555556
"60","2013to2014","F64.9","N/A",36,0,0
"61","2014to2015","F64.0","Female",755,264,34.9668874172185
"62","2014to2015","F64.0","Male",755,301,39.8675496688742
"63","2014to2015","F64.0","Unknown",755,190,25.1655629139073
"64","2014to2015","F64.0","N/A",755,0,0
"65","2014to2015","F64.1","Female",1,0,0
"66","2014to2015","F64.1","Male",1,1,100
"67","2014to2015","F64.1","Unknown",1,0,0
"68","2014to2015","F64.1","N/A",1,0,0
"69","2014to2015","F64.2","Female",4,2,50
"70","2014to2015","F64.2","Male",4,2,50
"71","2014to2015","F64.2","Unknown",4,0,0
"72","2014to2015","F64.2","N/A",4,0,0
"73","2014to2015","F64.8","Female",4,1,25
"74","2014to2015","F64.8","Male",4,3,75
"75","2014to2015","F64.8","Unknown",4,0,0
"76","2014to2015","F64.8","N/A",4,0,0
"77","2014to2015","F64.9","Female",51,13,25.4901960784314
"78","2014to2015","F64.9","Male",51,31,60.7843137254902
"79","2014to2015","F64.9","Unknown",51,7,13.7254901960784
"80","2014to2015","F64.9","N/A",51,0,0
"81","2015to2016","F64.0","Female",870,281,32.2988505747126
"82","2015to2016","F64.0","Male",870,374,42.9885057471264
"83","2015to2016","F64.0","Unknown",870,215,24.7126436781609
"84","2015to2016","F64.0","N/A",870,0,0
"85","2015to2016","F64.1","Female",2,1,50
"86","2015to2016","F64.1","Male",2,1,50
"87","2015to2016","F64.1","Unknown",2,0,0
"88","2015to2016","F64.1","N/A",2,0,0
"89","2015to2016","F64.2","Female",7,5,71.4285714285714
"90","2015to2016","F64.2","Male",7,2,28.5714285714286
"91","2015to2016","F64.2","Unknown",7,0,0
"92","2015to2016","F64.2","N/A",7,0,0
"93","2015to2016","F64.8","Female",2,1,50
"94","2015to2016","F64.8","Male",2,1,50
"95","2015to2016","F64.8","Unknown",2,0,0
"96","2015to2016","F64.8","N/A",2,0,0
"97","2015to2016","F64.9","Female",44,12,27.2727272727273
"98","2015to2016","F64.9","Male",44,32,72.7272727272727
"99","2015to2016","F64.9","Unknown",44,0,0
"100","2015to2016","F64.9","N/A",44,0,0
"101","2016to2017","F64.0","Female",924,265,28.6796536796537
"102","2016to2017","F64.0","Male",924,423,45.7792207792208
"103","2016to2017","F64.0","Unknown",924,236,25.5411255411255
"104","2016to2017","F64.0","N/A",924,0,0
"105","2016to2017","F64.2","Female",40,19,47.5
"106","2016to2017","F64.2","Male",40,21,52.5
"107","2016to2017","F64.2","Unknown",40,0,0
"108","2016to2017","F64.2","N/A",40,0,0
"109","2016to2017","F64.8","Female",9,1,11.1111111111111
"110","2016to2017","F64.8","Male",9,7,77.7777777777778
"111","2016to2017","F64.8","Unknown",9,1,11.1111111111111
"112","2016to2017","F64.8","N/A",9,0,0
"113","2016to2017","F64.9","Female",111,27,24.3243243243243
"114","2016to2017","F64.9","Male",111,40,36.036036036036
"115","2016to2017","F64.9","Unknown",111,44,39.6396396396396
"116","2016to2017","F64.9","N/A",111,0,0
"117","2017to2018","F64.0","Female",1201,322,26.8109908409659
"118","2017to2018","F64.0","Male",1201,526,43.796835970025
"119","2017to2018","F64.0","Unknown",1201,353,29.3921731890092
"120","2017to2018","F64.0","N/A",1201,0,0
"121","2017to2018","F64.1","Female",2,1,50
"122","2017to2018","F64.1","Male",2,1,50
"123","2017to2018","F64.1","Unknown",2,0,0
"124","2017to2018","F64.1","N/A",2,0,0
"125","2017to2018","F64.2","Female",53,15,28.3018867924528
"126","2017to2018","F64.2","Male",53,37,69.811320754717
"127","2017to2018","F64.2","Unknown",53,1,1.88679245283019
"128","2017to2018","F64.2","N/A",53,0,0
"129","2017to2018","F64.8","Female",4,1,25
"130","2017to2018","F64.8","Male",4,2,50
"131","2017to2018","F64.8","Unknown",4,1,25
"132","2017to2018","F64.8","N/A",4,0,0
"133","2017to2018","F64.9","Female",75,31,41.3333333333333
"134","2017to2018","F64.9","Male",75,41,54.6666666666667
"135","2017to2018","F64.9","Unknown",75,3,4
"136","2017to2018","F64.9","N/A",75,0,0
"137","2018to2019","F64.0","Female",1473,418,28.377460964019
"138","2018to2019","F64.0","Male",1473,697,47.3183978275628
"139","2018to2019","F64.0","Unknown",1473,358,24.3041412084182
"140","2018to2019","F64.0","N/A",1473,0,0
"141","2018to2019","F64.2","Female",56,26,46.4285714285714
"142","2018to2019","F64.2","Male",56,29,51.7857142857143
"143","2018to2019","F64.2","Unknown",56,1,1.78571428571429
"144","2018to2019","F64.2","N/A",56,0,0
"145","2018to2019","F64.8","Female",18,9,50
"146","2018to2019","F64.8","Male",18,6,33.3333333333333
"147","2018to2019","F64.8","Unknown",18,3,16.6666666666667
"148","2018to2019","F64.8","N/A",18,0,0
"149","2018to2019","F64.9","Female",77,31,40.2597402597403
"150","2018to2019","F64.9","Male",77,43,55.8441558441558
"151","2018to2019","F64.9","Unknown",77,3,3.8961038961039
"152","2018to2019","F64.9","N/A",77,0,0
"153","2019to2020","F64.0","Female",1476,529,35.840108401084
"154","2019to2020","F64.0","Male",1476,713,48.3062330623306
"155","2019to2020","F64.0","Unknown",1476,234,15.8536585365854
"156","2019to2020","F64.0","N/A",1476,0,0
"157","2019to2020","F64.2","Female",40,24,60
"158","2019to2020","F64.2","Male",40,13,32.5
"159","2019to2020","F64.2","Unknown",40,3,7.5
"160","2019to2020","F64.2","N/A",40,0,0
"161","2019to2020","F64.8","Female",7,2,28.5714285714286
"162","2019to2020","F64.8","Male",7,4,57.1428571428571
"163","2019to2020","F64.8","Unknown",7,1,14.2857142857143
"164","2019to2020","F64.8","N/A",7,0,0
"165","2019to2020","F64.9","Female",115,38,33.0434782608696
"166","2019to2020","F64.9","Male",115,35,30.4347826086957
"167","2019to2020","F64.9","Unknown",115,42,36.5217391304348
"168","2019to2020","F64.9","N/A",115,0,0
"169","2020to2021","F64.0","Female",484,254,52.4793388429752
"170","2020to2021","F64.0","Male",484,219,45.2479338842975
"171","2020to2021","F64.0","Unknown",484,11,2.27272727272727
"172","2020to2021","F64.0","N/A",484,0,0
"173","2020to2021","F64.1","Female",1,1,100
"174","2020to2021","F64.1","Male",1,0,0
"175","2020to2021","F64.1","Unknown",1,0,0
"176","2020to2021","F64.1","N/A",1,0,0
"177","2020to2021","F64.2","Female",4,4,100
"178","2020to2021","F64.2","Male",4,0,0
"179","2020to2021","F64.2","Unknown",4,0,0
"180","2020to2021","F64.2","N/A",4,0,0
"181","2020to2021","F64.8","Female",6,5,83.3333333333333
"182","2020to2021","F64.8","Male",6,1,16.6666666666667
"183","2020to2021","F64.8","Unknown",6,0,0
"184","2020to2021","F64.8","N/A",6,0,0
"185","2020to2021","F64.9","Female",234,22,9.4017094017094
"186","2020to2021","F64.9","Male",234,47,20.0854700854701
"187","2020to2021","F64.9","Unknown",234,165,70.5128205128205
"188","2020to2021","F64.9","N/A",234,0,0
