"","year","type","Code","FinEpisodes","MedianStay","MedianWaiting","percentage"
"1","2011to2012","Diagnoses","F64.0",412,4,112,13.3495145631068
"2","2011to2012","Diagnoses","F64.0",412,4,112,86.6504854368932
"3","2011to2012","Diagnoses","F64.1",2,23,0,50
"4","2011to2012","Diagnoses","F64.2",5,1,90,60
"5","2011to2012","Diagnoses","F64.2",5,1,90,40
"6","2011to2012","Diagnoses","F64.8",6,15,21,66.6666666666667
"7","2011to2012","Diagnoses","F64.8",6,15,21,33.3333333333333
"8","2011to2012","Diagnoses","F64.9",87,3,54,74.7126436781609
"9","2011to2012","Diagnoses","F64.9",87,3,54,25.2873563218391
"10","2012to2013","Diagnoses","F64.0",511,5,124,31.3111545988258
"11","2012to2013","Diagnoses","F64.0",511,5,124,68.6888454011742
"12","2012to2013","Diagnoses","F64.1",1,2,0,0
"13","2012to2013","Diagnoses","F64.1",1,2,0,100
"14","2012to2013","Diagnoses","F64.2",5,3,16,40
"15","2012to2013","Diagnoses","F64.2",5,3,16,60
"16","2012to2013","Diagnoses","F64.8",6,106,0,50
"17","2012to2013","Diagnoses","F64.9",72,2,82,61.1111111111111
"18","2012to2013","Diagnoses","F64.9",72,2,82,38.8888888888889
"19","2013to2014","Diagnoses","F64.0",573,4,114,33.1588132635253
"20","2013to2014","Diagnoses","F64.0",573,4,114,66.8411867364747
"21","2013to2014","Diagnoses","F64.1",1,8,NA,0
"22","2013to2014","Diagnoses","F64.1",1,8,NA,100
"23","2013to2014","Diagnoses","F64.2",5,9,NA,0
"24","2013to2014","Diagnoses","F64.2",5,9,NA,100
"25","2013to2014","Diagnoses","F64.8",4,0,15,25
"26","2013to2014","Diagnoses","F64.8",4,0,15,75
"27","2013to2014","Diagnoses","F64.9",36,5,107,36.1111111111111
"28","2013to2014","Diagnoses","F64.9",36,5,107,63.8888888888889
"29","2014to2015","Diagnoses","F64.0",755,2,108,31.9205298013245
"30","2014to2015","Diagnoses","F64.0",755,2,108,68.0794701986755
"31","2014to2015","Diagnoses","F64.1",1,5,NA,0
"32","2014to2015","Diagnoses","F64.1",1,5,NA,100
"33","2014to2015","Diagnoses","F64.2",4,80,NA,50
"34","2014to2015","Diagnoses","F64.8",4,2,91,0
"35","2014to2015","Diagnoses","F64.8",4,2,91,100
"36","2014to2015","Diagnoses","F64.9",51,2,66,43.1372549019608
"37","2014to2015","Diagnoses","F64.9",51,2,66,56.8627450980392
"38","2015to2016","Diagnoses","F64.0",870,2,182,34.1379310344828
"39","2015to2016","Diagnoses","F64.0",870,2,182,65.8620689655172
"40","2015to2016","Diagnoses","F64.1",2,83,NA,50
"41","2015to2016","Diagnoses","F64.2",7,19,6,42.8571428571429
"42","2015to2016","Diagnoses","F64.2",7,19,6,57.1428571428571
"43","2015to2016","Diagnoses","F64.8",2,1,103,0
"44","2015to2016","Diagnoses","F64.8",2,1,103,100
"45","2015to2016","Diagnoses","F64.9",44,2,91,31.8181818181818
"46","2015to2016","Diagnoses","F64.9",44,2,91,68.1818181818182
"47","2016to2017","Diagnoses","F64.0",924,2,165,31.1688311688312
"48","2016to2017","Diagnoses","F64.0",924,2,165,68.8311688311688
"49","2016to2017","Diagnoses","F64.2",40,1,30,87.5
"50","2016to2017","Diagnoses","F64.2",40,1,30,12.5
"51","2016to2017","Diagnoses","F64.8",9,3,40,33.3333333333333
"52","2016to2017","Diagnoses","F64.8",9,3,40,66.6666666666667
"53","2016to2017","Diagnoses","F64.9",111,2,85,54.954954954955
"54","2016to2017","Diagnoses","F64.9",111,2,85,45.045045045045
"55","2017to2018","Diagnoses","F64.0",1201,2,135,36.3863447127394
"56","2017to2018","Diagnoses","F64.0",1201,2,135,63.6136552872606
"57","2017to2018","Diagnoses","F64.1",2,1,116,50
"58","2017to2018","Diagnoses","F64.2",53,56,69,83.0188679245283
"59","2017to2018","Diagnoses","F64.2",53,56,69,16.9811320754717
"60","2017to2018","Diagnoses","F64.8",4,16,28,75
"61","2017to2018","Diagnoses","F64.8",4,16,28,25
"62","2017to2018","Diagnoses","F64.9",75,2,71,50.6666666666667
"63","2017to2018","Diagnoses","F64.9",75,2,71,49.3333333333333
"64","2018to2019","Diagnoses","F64.0",1473,2,92,33.6048879837067
"65","2018to2019","Diagnoses","F64.0",1473,2,92,66.3951120162933
"66","2018to2019","Diagnoses","F64.2",56,1,63,91.0714285714286
"67","2018to2019","Diagnoses","F64.2",56,1,63,8.92857142857143
"68","2018to2019","Diagnoses","F64.8",18,3,85,22.2222222222222
"69","2018to2019","Diagnoses","F64.8",18,3,85,77.7777777777778
"70","2018to2019","Diagnoses","F64.9",77,1,78,54.5454545454545
"71","2018to2019","Diagnoses","F64.9",77,1,78,45.4545454545455
"72","2019to2020","Diagnoses","F64.0",1476,1,89,30.6233062330623
"73","2019to2020","Diagnoses","F64.0",1476,1,89,69.3766937669377
"74","2019to2020","Diagnoses","F64.2",40,30,9,80
"75","2019to2020","Diagnoses","F64.2",40,30,9,20
"76","2019to2020","Diagnoses","F64.8",7,1,100,42.8571428571429
"77","2019to2020","Diagnoses","F64.8",7,1,100,57.1428571428571
"78","2019to2020","Diagnoses","F64.9",115,2,72,72.1739130434783
"79","2019to2020","Diagnoses","F64.9",115,2,72,27.8260869565217
"80","2020to2021","Diagnoses","F64.0",484,2,77,27.6859504132231
"81","2020to2021","Diagnoses","F64.0",484,2,77,72.3140495867769
"82","2020to2021","Diagnoses","F64.1",1,NA,1,100
"83","2020to2021","Diagnoses","F64.1",1,NA,1,0
"84","2020to2021","Diagnoses","F64.2",4,0,NA,75
"85","2020to2021","Diagnoses","F64.2",4,0,NA,25
"86","2020to2021","Diagnoses","F64.8",6,26,23,50
"87","2020to2021","Diagnoses","F64.9",234,0,91,85.4700854700855
"88","2020to2021","Diagnoses","F64.9",234,0,91,14.5299145299145
