"","year","Code","MedianWaiting","FinEpisodes"
"1","2011to2012","F64.0",112,412
"2","2011to2012","F64.1",0,2
"3","2011to2012","F64.2",90,5
"4","2011to2012","F64.8",21,6
"5","2011to2012","F64.9",54,87
"6","2012to2013","F64.0",124,511
"7","2012to2013","F64.1",0,1
"8","2012to2013","F64.2",16,5
"9","2012to2013","F64.8",0,6
"10","2012to2013","F64.9",82,72
"11","2013to2014","F64.0",114,573
"12","2013to2014","F64.1",NA,1
"13","2013to2014","F64.2",NA,5
"14","2013to2014","F64.8",15,4
"15","2013to2014","F64.9",107,36
"16","2014to2015","F64.0",108,755
"17","2014to2015","F64.1",NA,1
"18","2014to2015","F64.2",NA,4
"19","2014to2015","F64.8",91,4
"20","2014to2015","F64.9",66,51
"21","2015to2016","F64.0",182,870
"22","2015to2016","F64.1",NA,2
"23","2015to2016","F64.2",6,7
"24","2015to2016","F64.8",103,2
"25","2015to2016","F64.9",91,44
"26","2016to2017","F64.0",165,924
"27","2016to2017","F64.2",30,40
"28","2016to2017","F64.8",40,9
"29","2016to2017","F64.9",85,111
"30","2017to2018","F64.0",135,1201
"31","2017to2018","F64.1",116,2
"32","2017to2018","F64.2",69,53
"33","2017to2018","F64.8",28,4
"34","2017to2018","F64.9",71,75
"35","2018to2019","F64.0",92,1473
"36","2018to2019","F64.2",63,56
"37","2018to2019","F64.8",85,18
"38","2018to2019","F64.9",78,77
"39","2019to2020","F64.0",89,1476
"40","2019to2020","F64.2",9,40
"41","2019to2020","F64.8",100,7
"42","2019to2020","F64.9",72,115
"43","2020to2021","F64.0",77,484
"44","2020to2021","F64.1",1,1
"45","2020to2021","F64.2",NA,4
"46","2020to2021","F64.8",23,6
"47","2020to2021","F64.9",91,234
