"","year","type","Code","FinEpisodes","Admissions","Admission","number","percentage"
"1","2011to2012","Procedures","X15.1
Male to female",145,145,"Emergency",6,4.13793103448276
"2","2011to2012","Procedures","X15.1
Male to female",145,145,"Waiting List",139,95.8620689655172
"3","2011to2012","Procedures","X15.1
Male to female",145,145,"Planned",0,0
"4","2011to2012","Procedures","X15.1
Male to female",145,145,"Other Admission",0,0
"5","2011to2012","Procedures","X15.1
Male to female",145,145,"No Admission",0,0
"6","2011to2012","Procedures","X15.2
Female to male",1,1,"Emergency",0,0
"7","2011to2012","Procedures","X15.2
Female to male",1,1,"Waiting List",0,0
"8","2011to2012","Procedures","X15.2
Female to male",1,1,"Planned",0,0
"9","2011to2012","Procedures","X15.2
Female to male",1,1,"Other Admission",1,100
"10","2011to2012","Procedures","X15.2
Female to male",1,1,"No Admission",0,0
"11","2011to2012","Procedures","X15.8
Other",5,5,"Emergency",0,0
"12","2011to2012","Procedures","X15.8
Other",5,5,"Waiting List",4,80
"13","2011to2012","Procedures","X15.8
Other",5,5,"Planned",0,0
"14","2011to2012","Procedures","X15.8
Other",5,5,"Other Admission",1,20
"15","2011to2012","Procedures","X15.8
Other",5,5,"No Admission",0,0
"16","2012to2013","Procedures","X15.1
Male to female",160,160,"Emergency",1,0.625
"17","2012to2013","Procedures","X15.1
Male to female",160,160,"Waiting List",159,99.375
"18","2012to2013","Procedures","X15.1
Male to female",160,160,"Planned",0,0
"19","2012to2013","Procedures","X15.1
Male to female",160,160,"Other Admission",0,0
"20","2012to2013","Procedures","X15.1
Male to female",160,160,"No Admission",0,0
"21","2012to2013","Procedures","X15.2
Female to male",4,4,"Emergency",0,0
"22","2012to2013","Procedures","X15.2
Female to male",4,4,"Waiting List",3,75
"23","2012to2013","Procedures","X15.2
Female to male",4,4,"Planned",1,25
"24","2012to2013","Procedures","X15.2
Female to male",4,4,"Other Admission",0,0
"25","2012to2013","Procedures","X15.2
Female to male",4,4,"No Admission",0,0
"26","2012to2013","Procedures","X15.8
Other",2,2,"Emergency",0,0
"27","2012to2013","Procedures","X15.8
Other",2,2,"Waiting List",2,100
